Meter,Days Connected,Days Disconnected
00100ADE,,2016-02-18
00100ADE,,2016-02-19
00100ADE,,2016-02-20
00100ADE,,2016-02-21
00100ADE,,2016-02-22
00100ADE,,2016-02-23
00100ADE,,2016-02-24
00100ADE,,2016-02-25
00100ADE,,2016-02-26
00100ADE,,2016-02-27
00100ADE,,2016-02-28
00100ADE,,2016-02-29
00100ADE,,2016-03-01
00100ADE,,2016-03-02
00100ADE,,2016-03-03
00100ADE,,2016-03-04
00100ADE,,2016-03-05
00100ADE,,2016-03-06
00100ADE,,2016-03-07
00100ADE,,2016-03-08
00100B0A,2016-02-09,2016-02-10
00100B0A,2016-02-14,2016-02-11
00100B0A,2016-02-15,2016-02-12
00100B0A,2016-02-17,2016-02-13
00100B0A,2016-02-18,2016-02-16
00100B0A,2016-02-21,2016-02-19
00100B0A,2016-03-09,2016-02-20
00100B0A,,2016-02-22
00100B0A,,2016-02-23
00100B0A,,2016-02-24
00100B0A,,2016-02-25
00100B0A,,2016-02-26
00100B0A,,2016-02-27
00100B0A,,2016-02-28
00100B0A,,2016-02-29
00100B0A,,2016-03-01
00100B0A,,2016-03-02
00100B0A,,2016-03-03
00100B0A,,2016-03-04
00100B0A,,2016-03-05
00100B0A,,2016-03-06
00100B0A,,2016-03-07
00100B0A,,2016-03-08
00100B12,,2016-02-11
00100B12,,2016-02-12
00100B12,,2016-02-13
00100B12,,2016-02-14
00100B12,,2016-02-15
00100B12,,2016-02-16
00100B12,,2016-02-17
00100B12,,2016-02-18
00100B12,,2016-02-19
00100B12,,2016-02-20
00100B12,,2016-02-21
00100B12,,2016-02-22
00100B12,,2016-02-23
00100B12,,2016-02-24
00100B12,,2016-02-25
00100B12,,2016-02-26
00100B12,,2016-02-27
00100B12,,2016-02-28
00100B12,,2016-02-29
00100B12,,2016-03-01
00100B12,,2016-03-02
00100B12,,2016-03-03
00100B12,,2016-03-04
00100B12,,2016-03-05
00100B53,,2016-02-17
00100B53,,2016-02-18
00100B53,,2016-02-19
00100B53,,2016-02-20
00100B53,,2016-02-21
00100B53,,2016-02-22
00100B53,,2016-02-23
